_id,airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate,seatAvail
65e3679ccb66225971331563,GoAir,562,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:00,10:50,10:50,650,1200,180
65e3679ccb66225971331564,IndiGo,122,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:05,01:00,60,2040,180
65e3679ccb66225971331565,IndiGo,6825,Bengaluru,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:10,01:05,65,2210,180
65e3679ccb66225971331566,IndiGo,5221,Mumbai,Goa,Tuesday,N,Y,N,N,N,N,N,00:05,01:15,01:10,70,2380,180
65e3679ccb66225971331567,GoAir,380,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:20,01:15,75,2550,180
65e3679ccb66225971331568,IndiGo,672,Pune,Mangalore,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,00:05,01:20,01:15,75,2550,180
65e3679ccb66225971331569,Akasa Air,1103,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:40,01:35,95,3230,180
65e3679ccb6622597133156a,IndiGo,672,Pune,Visakhapatnam,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,00:05,01:55,01:50,110,3740,180
65e3679ccb6622597133156b,GoAir,2508,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:15,02:10,130,4420,180
65e3679ccb6622597133156c,AirAsia India,557,Chennai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:25,02:20,140,4760,180
65e3679ccb6622597133156d,AirAsia India,722,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:45,02:40,160,5440,180
65e3679ccb6622597133156e,IndiGo,2622,Chennai,Delhi,Saturday,N,N,N,N,N,Y,N,00:05,02:55,02:50,170,5780,180
65e3679ccb6622597133156f,IndiGo,2622,Chennai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:55,02:50,170,5780,180
65e3679ccb66225971331570,IndiGo,6065,Goa,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,03:10,03:05,185,6290,180
65e3679ccb66225971331571,IndiGo,122,Pune,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:15,01:05,65,2210,180
65e3679ccb66225971331572,IndiGo,5376,Mumbai,Ahmedabad,Saturday,N,N,N,N,N,Y,N,00:10,01:20,01:10,70,2380,180
65e3679ccb66225971331573,IndiGo,899,Kolkata,Guwahati,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:25,01:15,75,2550,180
65e3679ccb66225971331574,IndiGo,6236,Bengaluru,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180
65e3679ccb66225971331575,IndiGo,6745,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180
65e3679ccb66225971331576,IndiGo,6745,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180
65e3679ccb66225971331577,IndiGo,253,Mumbai,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:55,01:45,105,3570,180
